,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hofn,64.2539,-15.2082,40.69,76,100,10.04,IS,1666591275
1,Touros,-5.1989,-35.4608,77.23,81,12,10.87,BR,1666591281
2,Airai,-8.9266,125.4092,76.55,52,82,2.17,TL,1666591282
3,Ushuaia,-54.8,-68.3,34.68,94,84,3.85,AR,1666591282
4,Punta Arenas,-53.15,-70.9167,42.12,81,35,5.68,CL,1666591283
5,Yellowknife,62.456,-114.3525,28.92,80,100,11.5,CA,1666591284
6,Iwaki,37.05,140.8833,59.77,70,96,1.01,JP,1666591285
7,Rikitea,-23.1203,-134.9692,72.48,85,35,12.88,PF,1666591286
8,Shenjiamen,29.9576,122.298,65.64,54,91,18.25,CN,1666591287
9,Nanortalik,60.1432,-45.2371,34.99,96,100,12.91,GL,1666591287
10,Codrington,-38.2667,141.9667,55.67,96,100,16.11,AU,1666591288
11,Bluff,-46.6,168.3333,47.59,56,90,12.44,NZ,1666591289
12,Nshamba,-1.7983,31.5511,72.45,55,76,1.12,TZ,1666591290
13,Castro,-24.7911,-50.0119,56.55,89,17,2.75,BR,1666591291
14,Ribeira Grande,38.5167,-28.7,61.77,86,48,3.0,PT,1666591292
15,Saldanha,-33.0117,17.9442,63.19,80,25,8.99,ZA,1666591293
16,Sept-Îles,50.2001,-66.3821,48.27,87,87,3.11,CA,1666591272
17,Saint-Louis,16.3333,-15.0,80.62,60,86,9.46,SN,1666591295
18,Nemenčinė,54.85,25.4833,51.28,92,100,3.58,LT,1666591296
19,Bredasdorp,-34.5322,20.0403,66.94,74,74,10.71,ZA,1666591297
20,Bambous Virieux,-20.3428,57.7575,78.22,71,51,12.86,MU,1666591298
21,Bagdarin,54.4333,113.6,39.18,55,100,3.27,RU,1666591299
22,Korla,41.7597,86.1469,62.37,25,100,6.91,CN,1666591299
23,Hilo,19.7297,-155.09,76.24,93,100,3.44,US,1666591300
24,Klaksvík,62.2266,-6.589,49.12,90,100,22.93,FO,1666591301
25,Nikolskoye,59.7035,30.7861,35.78,85,22,5.41,RU,1666591302
26,Butaritari,3.0707,172.7902,81.61,77,20,10.78,KI,1666591303
27,Salalah,17.0151,54.0924,84.43,46,0,6.51,OM,1666591303
28,Kütahya,39.4242,29.9833,52.27,62,1,1.25,TR,1666591304
29,Adrar,20.5022,-10.0711,77.59,19,20,11.23,MR,1666591305
30,Niono,14.2526,-5.993,78.93,47,70,7.38,ML,1666591306
31,Kaitangata,-46.2817,169.8464,47.43,56,95,8.32,NZ,1666591307
32,Albany,42.6001,-73.9662,54.73,80,100,1.36,US,1666591201
33,Cockburn Town,21.4612,-71.1419,81.1,73,94,13.22,TC,1666591309
34,Hermanus,-34.4187,19.2345,66.79,74,71,12.19,ZA,1666591310
35,Nome,64.5011,-165.4064,34.16,94,100,13.56,US,1666591310
36,Karratha,-20.7377,116.8463,85.33,40,34,24.2,AU,1666591311
37,Qaanaaq,77.484,-69.3632,18.01,93,100,3.27,GL,1666591312
38,Cidreira,-30.1811,-50.2056,56.21,87,2,5.73,BR,1666591313
39,Port Alfred,-33.5906,26.891,68.18,88,46,3.0,ZA,1666591314
40,Ilulissat,69.2167,-51.1,26.62,93,100,2.3,GL,1666591314
41,Jamālpur,24.9167,89.9333,70.56,95,100,10.25,BD,1666591315
42,Vaini,-21.2,-175.2,73.18,66,96,23.62,TO,1666591316
43,Mataura,-46.1927,168.8643,48.85,51,96,5.35,NZ,1666591317
44,Jamestown,42.097,-79.2353,51.19,69,10,1.01,US,1666591218
